0x0420 TB_SETBITMAPSIZE
0x0420 TBM_SETBUDDY
0x0420 TTM_SETTITLEA
0x0421 MSG_FTS_JUMP_VA
0x0421 TB_AUTOSIZE
0x0421 TBM_GETBUDDY
0x0421 TTM_SETTITLEW
0x0422 RB_GETBANDBORDERS
0x0423 MSG_FTS_JUMP_QWORD
0x0423 RB_SHOWBAND
0x0423 TB_GETTOOLTIPS
0x0424 MSG_REINDEX_REQUEST
0x0424 TB_SETTOOLTIPS
0x0425 MSG_FTS_WHERE_IS_IT
0x0425 RB_SETPALETTE
0x0425 TB_SETPARENT
0x0426 RB_GETPALETTE
0x0427 RB_MOVEBAND
0x0427 TB_SETROWS
0x0428 TB_GETROWS
0x0429 TB_GETBITMAPFLAGS
0x042A TB_SETCMDID
0x042B RB_PUSHCHEVRON
0x042B TB_CHANGEBITMAP
0x042C TB_GETBITMAP
0x042D MSG_GET_DEFFONT
0x042D TB_GETBUTTONTEXTA
0x042E TB_REPLACEBITMAP
0x042F TB_SETINDENT
0x0430 TB_SETIMAGELIST
0x0431 TB_GETIMAGELIST
0x0432 EM_CANPASTE
0x0432 TB_LOADIMAGES
0x0432 TTM_ADDTOOLW
0x0433 EM_DISPLAYBAND
0x0433 TB_GETRECT
0x0433 TTM_DELTOOLW
0x0434 EM_EXGETSEL
0x0434 TB_SETHOTIMAGELIST
0x0434 TTM_NEWTOOLRECTW
0x0435 EM_EXLIMITTEXT
0x0435 TB_GETHOTIMAGELIST
0x0435 TTM_GETTOOLINFOW
0x0436 EM_EXLINEFROMCHAR
0x0436 TB_SETDISABLEDIMAGELIST
0x0436 TTM_SETTOOLINFOW
0x0437 EM_EXSETSEL
0x0437 TB_GETDISABLEDIMAGELIST
0x0437 TTM_HITTESTW
0x0438 EM_FINDTEXT
0x0438 TB_SETSTYLE
0x0438 TTM_GETTEXTW
0x0439 EM_FORMATRANGE
0x0439 TB_GETSTYLE
0x0439 TTM_UPDATETIPTEXTW
0x043A EM_GETCHARFORMAT
0x043A TB_GETBUTTONSIZE
0x043A TTM_ENUMTOOLSW
0x043B EM_GETEVENTMASK
0x043B TB_SETBUTTONWIDTH
0x043B TTM_GETCURRENTTOOLW
0x043C EM_GETOLEINTERFACE
0x043C TB_SETMAXTEXTROWS
0x043D EM_GETPARAFORMAT
0x043D TB_GETTEXTROWS
0x043E EM_GETSELTEXT
0x043E TB_GETOBJECT
0x043F EM_HIDESELECTION
0x043F TB_GETBUTTONINFOW
0x0440 EM_PASTESPECIAL
0x0440 TB_SETBUTTONINFOW
0x0441 EM_REQUESTRESIZE
0x0441 TB_GETBUTTONINFOA
0x0442 EM_SELECTIONTYPE
0x0442 TB_SETBUTTONINFOA
0x0443 EM_SETBKGNDCOLOR
0x0443 TB_INSERTBUTTONW
0x0444 EM_SETCHARFORMAT
0x0444 TB_ADDBUTTONSW
0x0445 EM_SETEVENTMASK
0x0445 TB_HITTEST
0x0446 EM_SETOLECALLBACK
0x0446 TB_SETDRAWTEXTFLAGS
0x0447 EM_SETPARAFORMAT
0x0447 TB_GETHOTITEM
0x0448 EM_SETTARGETDEVICE
0x0448 TB_SETHOTITEM
0x0449 EM_STREAMIN
0x0449 TB_SETANCHORHIGHLIGHT
0x044A EM_STREAMOUT
0x044A TB_GETANCHORHIGHLIGHT
0x044B EM_GETTEXTRANGE
0x044B TB_GETBUTTONTEXTW
0x044C EM_FINDWORDBREAK
0x044C TB_SAVERESTOREW
0x044D EM_SETOPTIONS
0x044D TB_ADDSTRINGW
0x044E EM_GETOPTIONS
0x044E TB_MAPACCELERATORA
0x044F EM_FINDTEXTEX
0x044F TB_GETINSERTMARK
0x0450 EM_GETWORDBREAKPROCEX
0x0450 TB_SETINSERTMARK
0x0451 EM_SETWORDBREAKPROCEX
0x0451 TB_INSERTMARKHITTEST
0x0452 EM_SETUNDOLIMIT
0x0452 TB_MOVEBUTTON
0x0453 TB_GETMAXSIZE
0x0454 EM_REDO
0x0454 TB_SETEXTENDEDSTYLE
0x0455 EM_CANREDO
0x0455 TB_GETEXTENDEDSTYLE
0x0456 EM_GETUNDONAME
0x0456 TB_GETPADDING
0x0457 EM_GETREDONAME
0x0457 TB_SETPADDING
0x0458 EM_STOPGROUPTYPING
0x0458 TB_SETINSERTMARKCOLOR
0x0459 EM_SETTEXTMODE
